,pueblo,estado,latitud,longitud,distancia_km,distancia_h,transporte
0,"Aculco, Estado de México", Estado de México,20.1358065,-99.82746734108255,130.464,1.9783333333333333,Automovil
1,"Ajijic, Jalisco", Jalisco,20.3001977,-103.2619347,550.412,6.151111111111111,Camión
2,"Álamos, Sonora", Sonora,27.0828453,-108.92352318666747,1616.354,18.389166666666668,Avión
3,"Amealco de Bonfil, Querétaro", Querétaro,20.18744455,-100.06915521888165,182.298,2.463888888888889,Automovil
4,"Aquismón, San Luis Potosí", San Luis Potosí,21.7481115,-99.06358041948883,507.806,8.033055555555556,Camión
5,"Arteaga, Coahuila", Coahuila,25.3453685,-100.68317226747521,823.199,9.173333333333334,Camión
6,"Atlixco, Puebla", Puebla,18.901370800000002,-98.45315160853366,176.244,2.5894444444444447,Automovil
7,"Bacalar, Quintana Roo", Quintana Roo,18.6782559,-88.3922556,1337.532,16.169444444444444,Avión
8,"Batopilas, Chihuahua", Chihuahua,26.92450565,-107.66733157855265,1630.511,21.495555555555555,Avión
9,"Bernal, Querétaro", Querétaro,20.7389779,-99.9410797,227.845,2.8569444444444443,Automovil
10,"Bustamante, Nuevo León", Nuevo León,26.57133255,-100.57005090960021,1002.884,11.499722222222223,Avión
11,"Cadereyta de Montes, Querétaro", Querétaro,20.7912161,-99.6660444473338,229.324,3.3691666666666666,Automovil
12,"Calvillo, Aguascalientes", Aguascalientes,21.849624249999998,-102.71254273225466,534.258,5.925833333333333,Camión
13,"Candela, Coahuila", Coahuila,26.8283217,-100.74996797895923,1047.544,11.839166666666667,Avión
14,"Capulálpam de Méndez, Oaxaca", Oaxaca,17.314585800000003,-96.41698687992894,550.561,7.765,Camión
15,"Casas Grandes, Chihuahua", Chihuahua,30.20776175,-108.227753525723,1787.345,20.837222222222223,Avión
16,"Chiapa de Corzo, Chiapas", Chiapas,16.601322449999998,-92.99681558748827,871.414,10.533611111111112,Avión
17,"Chignahuapan, Puebla", Puebla,19.8213915,-98.11775714603566,210.26,3.0369444444444444,Automovil
18,"Cholula, Puebla", Puebla,19.06273265,-98.30392260706809,138.826,2.08,Automovil
19,"Coatepec, Veracruz", Veracruz,19.4448572,-96.93362844130704,322.185,4.312777777777778,Camión
20,"Comala, Colima", Colima,19.39542235,-103.78396319508431,730.517,8.666666666666666,Camión
21,"Comitán, Chiapas", Chiapas,16.2441097,-92.1348514,989.001,12.891388888888889,Avión
22,"Comonfort, Guanajuato", Guanajuato,20.73708895,-100.7973200901495,269.196,3.2330555555555556,Automovil
24,"Cosalá, Sinaloa", Sinaloa,24.51616455,-106.79663333795146,1183.889,13.979722222222222,Avión
